model,layer,item,speaker_mode,context_mode,distance_mode,feature_size,score
hubert_base,10,phoneme-dev-clean,across,any,cosine,0.02,0.081441156566143
hubert_base,10,phoneme-dev-clean,across,within,cosine,0.02,0.0211512260138988
hubert_base,10,phoneme-dev-clean,within,any,cosine,0.02,0.0780196189880371
hubert_base,10,phoneme-dev-clean,within,within,cosine,0.02,0.0162911098450422
hubert_base,10,phoneme-dev-other,across,any,cosine,0.02,0.1045505255460739
hubert_base,10,phoneme-dev-other,across,within,cosine,0.02,0.0474645942449569
hubert_base,10,phoneme-dev-other,within,any,cosine,0.02,0.0947946682572364
hubert_base,10,phoneme-dev-other,within,within,cosine,0.02,0.0301975235342979
hubert_base,10,triphone-dev-clean,across,within,cosine,0.02,0.0409902408719062
hubert_base,10,triphone-dev-clean,within,within,cosine,0.02,0.0345052890479564
hubert_base,10,triphone-dev-other,across,within,cosine,0.02,0.0602010637521743
hubert_base,10,triphone-dev-other,within,within,cosine,0.02,0.0418514981865882
hubert_base,11,phoneme-dev-clean,across,any,cosine,0.02,0.0818815007805824
hubert_base,11,phoneme-dev-clean,across,within,cosine,0.02,0.0211429856717586
hubert_base,11,phoneme-dev-clean,within,any,cosine,0.02,0.0769039317965507
hubert_base,11,phoneme-dev-clean,within,within,cosine,0.02,0.0159332249313592
hubert_base,11,phoneme-dev-other,across,any,cosine,0.02,0.1078594774007797
hubert_base,11,phoneme-dev-other,across,within,cosine,0.02,0.0514739602804183
hubert_base,11,phoneme-dev-other,within,any,cosine,0.02,0.0950382873415947
hubert_base,11,phoneme-dev-other,within,within,cosine,0.02,0.0309107899665832
hubert_base,11,triphone-dev-clean,across,within,cosine,0.02,0.0365009568631649
hubert_base,11,triphone-dev-clean,within,within,cosine,0.02,0.0307366270571947
hubert_base,11,triphone-dev-other,across,within,cosine,0.02,0.0619613341987133
hubert_base,11,triphone-dev-other,within,within,cosine,0.02,0.0389416776597499
hubert_base,12,phoneme-dev-clean,across,any,cosine,0.02,0.0854353308677673
hubert_base,12,phoneme-dev-clean,across,within,cosine,0.02,0.0242103300988674
hubert_base,12,phoneme-dev-clean,within,any,cosine,0.02,0.0807413160800933
hubert_base,12,phoneme-dev-clean,within,within,cosine,0.02,0.0177582968026399
hubert_base,12,phoneme-dev-other,across,any,cosine,0.02,0.1113603487610817
hubert_base,12,phoneme-dev-other,across,within,cosine,0.02,0.0566903464496135
hubert_base,12,phoneme-dev-other,within,any,cosine,0.02,0.099741630256176
